QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 35040630, N, 2000, samples, 10, stdDev, 858602
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 54561360, N, 2500, samples, 10, stdDev, 2745458
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 81129930, N, 3000, samples, 10, stdDev, 6247361
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 102237950, N, 3500, samples, 10, stdDev, 14106083
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 118417070, N, 4000, samples, 10, stdDev, 11438297
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 164409030, N, 4500, samples, 10, stdDev, 4234390
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 209864730, N, 5000, samples, 10, stdDev, 9818804
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 248084130, N, 5500, samples, 10, stdDev, 9686092
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 292576990, N, 6000, samples, 10, stdDev, 10709483
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 343214450, N, 6500, samples, 10, stdDev, 13091300
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 391130430, N, 7000, samples, 10, stdDev, 15345195
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 459442760, N, 7500, samples, 10, stdDev, 21881223
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 519006510, N, 8000, samples, 10, stdDev, 21907921
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 606450800, N, 8500, samples, 10, stdDev, 25975920
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 705032320, N, 9000, samples, 10, stdDev, 11996240
QuickSort Algorithm (Median of three as Pivot), Constant Data, T[ns], 761775560, N, 9500, samples, 10, stdDev, 36399494
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 7008540, N, 1000, samples, 10, stdDev, 510046
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 667823080, N, 10000, samples, 10, stdDev, 49956406
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 753389740, N, 10500, samples, 10, stdDev, 53979861
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 15128840, N, 1500, samples, 10, stdDev, 570809
